endpoint,k,variant,negative_intent,terms_with_volume,total_volume,weighted_violation_rate,weighted_compliant_rate,weighted_unclear_rate
l2,36,control,stuffing,24,369948,0.01970554720603372,0.9513246906772482,0.028969762116717864
l2,36,control,dust,14,170435,0.041210399533220525,0.20350883197569616,0.7552807684910834
l2,36,control,mess,14,59732,0.028632521559260965,0.5705377538189096,0.4008297246218293
l2,36,control,gluten,10,66998,0.11237400121396653,0.7228482773946818,0.16477772139135163
l2,36,control,odor,10,65047,0.10274621940033099,0.8361787118032602,0.06107506879640873
l2,36,control,corn,9,26069,0.16039271846936118,0.5553637568674586,0.28424352466318015
l2,36,control,waste,9,90813,0.0754694934768272,0.6490688435454053,0.27546166297776753
l2,36,control,gmo,7,43028,0.001992888351770939,0.9041405854585645,0.09386652618966454
l2,36,control,non clumping,7,175160,0.7322511481566061,0.2606347212707112,0.007114130572682738
l2,36,control,poultry,7,28243,0.5445764338852891,0.2420314571555587,0.21339210895915212
l2,36,control,soy,6,23601,0.04778634615294074,0.5295550094393363,0.4226586444077229
l2,36,control,spill,6,94240,0.2432898863421996,0.6865284851914732,0.07018162846632706
l2,36,control,chew,5,51318,0.2557371032905933,0.7391942831408517,0.005068613568555097
l2,36,control,shock,5,26156,0.5855008835873647,0.13087819238415657,0.28362092402847866
l2,36,control,sugar,5,22557,0.1933275208976765,0.13508494529906948,0.671587533803254
l2,36,control,tracking,5,39207,0.22946866064166546,0.38786441196725074,0.3826669273910838
l2,36,control,"grain, chicken",4,15603,0.6768659160987559,0.31587408404366685,0.007259999857577226
l2,36,control,melt,4,15479,0.040226543489028106,0.25405567399559265,0.7057177825153792
l2,36,control,poo,4,15555,0.5018875674131219,0.4981124325868781,0.0
l2,36,control,poop,4,41032,0.4989953640519052,0.5010046359480947,0.0
l2,36,control,scratch,4,13691,0.6667376784424479,0.316353403290077,0.016908918267474937
l2,36,control,squeak,4,44033,0.7020776084603214,0.1682601685099811,0.12966222302969743
l2,36,control,wheat,4,25483,0.0460710190235756,0.8717347512720898,0.08219422970433445
l2,36,control,allergy,3,8756,0.25430181209075686,0.670264199786813,0.07543398812243032
l2,36,control,fragrance,3,13202,0.21835496305273608,0.5966562305374606,0.1849888064098032
l2,36,control,non gmo,3,4415,0.8082924373977602,0.06656599974833269,0.1251415628539071
l2,36,control,scent,3,8027,0.7787190454438492,0.132594161372036,0.0886867931841147
l2,36,control,unscented,3,9558,0.5867074701820465,0.41329252981795356,0.0
l2,36,control,zip,3,3629,0.04725819785064753,0.39674994641927686,0.5559918557300756
l2,36,control,catnip,2,3098,1.0,0.0,0.0
l2,36,control,clay,2,8250,0.26045454545454544,0.7242525252525253,0.015292929292929277
l2,36,control,clumping,2,7730,0.0881270662641943,0.9118729337358056,0.0
l2,36,control,ears,2,9348,0.6984649122807017,0.1944444444444444,0.10709064327485379
l2,36,control,fat,2,10582,0.30815430815430817,0.18766668766668765,0.5041790041790042
l2,36,control,free,2,8017,0.16104755888360886,0.8389524411163912,0.0
l2,36,control,non prescription,2,2306,0.28143972246313964,0.6222535414859787,0.09630673605088173
l2,36,control,pee,2,3586,0.8801821899981408,0.11981781000185904,0.0
l2,36,control,prescription,2,27113,0.38812357335759395,0.34301913391280114,0.2688572927296049
l2,36,control,teeth,2,4663,0.7111957013844211,0.26102652083780115,0.027777777777777703
l2,36,control,tip,2,12866,0.0,0.8796202739347463,0.12037972606525377
l2,36,control,additives,1,1600,0.1944444444444444,0.0,0.8055555555555556
l2,36,control,aller,1,974,0.3055555555555556,0.6111111111111112,0.0833333333333333
l2,36,control,bark,1,10077,0.8888888888888887,0.11111111111111109,0.0
l2,36,control,bell,1,3873,0.9722222222222222,0.0,0.0277777777777777
l2,36,control,bpa,1,1302,0.0,0.0,1.0
l2,36,control,carpet,1,1496,0.6111111111111112,0.027777777777777696,0.3611111111111111
l2,36,control,cat pee,1,1215,0.3333333333333333,0.6666666666666666,0.0
l2,36,control,choke,1,1536,0.0555555555555555,0.9444444444444443,0.0
l2,36,control,clump,1,3211,0.7777777777777778,0.2222222222222222,0.0
l2,36,control,corn and soy,1,2593,0.1388888888888889,0.5,0.3611111111111111
l2,36,control,d3,1,1856,0.3333333333333333,0.2222222222222222,0.4444444444444444
l2,36,control,dehp,1,5570,0.027777777777777703,0.3611111111111111,0.6111111111111112
l2,36,control,"dust, scent",1,1132,0.1944444444444444,0.3055555555555556,0.5
l2,36,control,escape,1,1062,0.1111111111111111,0.8333333333333334,0.0555555555555555
l2,36,control,fish,1,1456,0.8611111111111112,0.0555555555555555,0.0833333333333333
l2,36,control,gain,1,977,0.0833333333333333,0.9166666666666666,0.0
l2,36,control,"grain, fat",1,1870,1.0,0.0,0.0
l2,36,control,grow,1,2780,0.0277777777777777,0.3055555555555556,0.6666666666666666
